method,model,ratio_name,ratio_value,split,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,total_method_time_sec_mean,total_method_time_sec_std,trainable_params_mean
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,0.3134314024268394,0.10613234234951464,0.40382513661202185,0.12424816448629629,779.8759999999999,120.66155207024319,94376326.0
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,0.810522855390193,0.0854542320273155,0.8337930497279605,0.08984776577455897,779.8759999999999,120.66155207024319,94376326.0
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,0.7926155335185824,0.16835058021345703,0.8265500794912559,0.1122834179651629,779.8759999999999,120.66155207024319,94376326.0
MERT full fine-tuning,mert_v1_95m,train100,1.0,external_test,0.281490716830609,0.13616409991010187,0.3087431693989071,0.16511324799549215,1335.8463333333334,534.7810231415597,94376326.0
MERT full fine-tuning,mert_v1_95m,train100,1.0,test,0.9775136938529477,0.014480347122166186,0.9804915534357135,0.009757333919092956,1335.8463333333334,534.7810231415597,94376326.0
MERT full fine-tuning,mert_v1_95m,train100,1.0,val,0.9814231567200616,0.0028804928349975122,0.9831758573446554,0.008139994287662268,1335.8463333333334,534.7810231415597,94376326.0
MERT full fine-tuning,mert_v1_95m,train25,0.25,external_test,0.28887723981413327,0.08850800577608531,0.3273224043715847,0.09469016694759624,850.445,166.95184665046384,94376326.0
MERT full fine-tuning,mert_v1_95m,train25,0.25,test,0.9388286003983805,0.04582259811433731,0.9528593641076714,0.03120602767851935,850.445,166.95184665046384,94376326.0
MERT full fine-tuning,mert_v1_95m,train25,0.25,val,0.9306688319579984,0.025195566075368176,0.9336805426319493,0.023646516031086307,850.445,166.95184665046384,94376326.0
MERT full fine-tuning,mert_v1_95m,train50,0.5,external_test,0.3005603264862933,0.07445049551751502,0.3092896174863388,0.10114014550817078,968.2733333333332,253.96046861142253,94376326.0
MERT full fine-tuning,mert_v1_95m,train50,0.5,test,0.9705363979734342,0.010613477450921125,0.9664514252715121,0.012035652013310034,968.2733333333332,253.96046861142253,94376326.0
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,0.9554678760886253,0.05984763509798808,0.9624755189972581,0.044363169531543345,968.2733333333332,253.96046861142253,94376326.0
MERT linear probe,mert_v1_95m,train10,0.1,external_test,0.17863219512579406,0.0805192668220404,0.2699453551912568,0.05856689781185994,118.36500000000001,2.561676989786182,4614.0
MERT linear probe,mert_v1_95m,train10,0.1,test,0.5639018032291405,0.14802240475029824,0.6284047238351708,0.11357146992565204,118.36500000000001,2.561676989786182,4614.0
MERT linear probe,mert_v1_95m,train10,0.1,val,0.623177601082019,0.18881181346620163,0.7031348090171621,0.09017468868165439,118.36500000000001,2.561676989786182,4614.0
MERT linear probe,mert_v1_95m,train100,1.0,external_test,0.3959420913432683,0.01382830124520683,0.453551912568306,0.013148862749197781,143.6063333333333,2.1657041195263282,4614.0
MERT linear probe,mert_v1_95m,train100,1.0,test,0.96746212234717,0.02984861231521796,0.9576549154995829,0.04182273613297961,143.6063333333333,2.1657041195263282,4614.0
MERT linear probe,mert_v1_95m,train100,1.0,val,0.9551078516788082,0.02478654784764363,0.9618085722945059,0.017404938645032862,143.6063333333333,2.1657041195263282,4614.0
MERT linear probe,mert_v1_95m,train25,0.25,external_test,0.282691465017458,0.0562254443133738,0.3530054644808743,0.01642074229652102,126.86366666666667,3.3811219045360357,4614.0
MERT linear probe,mert_v1_95m,train25,0.25,test,0.8761371847743741,0.011980955797454137,0.8492092553452174,0.03864876219532281,126.86366666666667,3.3811219045360357,4614.0
MERT linear probe,mert_v1_95m,train25,0.25,val,0.8126520836077673,0.04036632289776156,0.8473298204756006,0.04680679544450826,126.86366666666667,3.3811219045360357,4614.0
MERT linear probe,mert_v1_95m,train50,0.5,external_test,0.3120957730557497,0.035559838821733025,0.3825136612021858,0.03688828159942661,131.97166666666666,2.7892723662871974,4614.0
MERT linear probe,mert_v1_95m,train50,0.5,test,0.9283976398444223,0.03371194522691893,0.9150721485818224,0.04566435347461337,131.97166666666666,2.7892723662871974,4614.0
MERT linear probe,mert_v1_95m,train50,0.5,val,0.8950381297903679,0.06642275613964647,0.9182117391836062,0.04047883263397887,131.97166666666666,2.7892723662871974,4614.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,0.18990729345244042,0.019506110151092448,0.28469945355191256,0.040698461598612956,1378.6576666666667,361.7213170665137,152070.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,0.44598063760496487,0.0702346158205204,0.5568004758980408,0.08103015391996851,1378.6576666666667,361.7213170665137,152070.0
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,0.5051180430012786,0.08007799416241641,0.6402011297151963,0.09786231249559806,1378.6576666666667,361.7213170665137,152070.0
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,0.34846912756911724,0.17674015724012074,0.42568306010928963,0.11984417605409879,1257.7553333333333,291.2394352784892,152070.0
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,0.755214485885674,0.13046925108634944,0.8018558006680842,0.08613720439703143,1257.7553333333333,291.2394352784892,152070.0
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,0.7265193147871077,0.06592100245162899,0.8103682474526465,0.02931235003943252,1257.7553333333333,291.2394352784892,152070.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,0.14633095350689984,0.023761846128557727,0.24808743169398909,0.011514375686177853,1170.27,239.27252200576638,152070.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,0.5654422525463806,0.010001119399834736,0.671104448353077,0.04381482852995854,1170.27,239.27252200576638,152070.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,0.5481097326075145,0.010813624795552415,0.7016651512815196,0.030905362974086588,1170.27,239.27252200576638,152070.0
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,0.27236170118526637,0.1689705404560366,0.4076502732240437,0.12277947988495702,1039.941,146.4034310970887,152070.0
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,test,0.5948218614720503,0.1627976980327698,0.7082321111090247,0.1632881950884942,1039.941,146.4034310970887,152070.0
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,val,0.6483451513231431,0.11309411896273831,0.807706309496591,0.09114394802341995,1039.941,146.4034310970887,152070.0
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,external_test,0.17410121771622952,0.0482273544345675,0.28688524590163933,0.09072848591489648,1250.2446666666665,325.14762006869023,299526.0
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,test,0.5150525587830125,0.1341609847429408,0.6269068783355809,0.1432653460409217,1250.2446666666665,325.14762006869023,299526.0
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,val,0.5431727305299948,0.04521419256748865,0.6906391735036236,0.043770021697665536,1250.2446666666665,325.14762006869023,299526.0
MERT+LoRA (r=8),mert_v1_95m,train100,1.0,external_test,0.39961821062185415,0.07789760904422202,0.4502732240437159,0.05241630775134409,1581.9189999999999,694.2139496070358,299526.0
MERT+LoRA (r=8),mert_v1_95m,train100,1.0,test,0.7603358025699136,0.08744327767635024,0.817812399082051,0.046984075312510906,1581.9189999999999,694.2139496070358,299526.0
MERT+LoRA (r=8),mert_v1_95m,train100,1.0,val,0.7758406004103663,0.11914020584854355,0.8691049302302499,0.04999770396249026,1581.9189999999999,694.2139496070358,299526.0
MERT+LoRA (r=8),mert_v1_95m,train25,0.25,external_test,0.26038377665680384,0.14766175290740768,0.3218579234972678,0.126711166787254,1105.0623333333333,541.8943605780865,299526.0
MERT+LoRA (r=8),mert_v1_95m,train25,0.25,test,0.6020819710415032,0.19490148134557234,0.6914012865104188,0.12314663309226084,1105.0623333333333,541.8943605780865,299526.0
MERT+LoRA (r=8),mert_v1_95m,train25,0.25,val,0.5588670183627195,0.0854343640080007,0.7129878255197948,0.10121275677142433,1105.0623333333333,541.8943605780865,299526.0
MERT+LoRA (r=8),mert_v1_95m,train50,0.5,external_test,0.38670345638160114,0.058551690161789946,0.43715846994535523,0.058429075139376695,1210.26,280.69636526859415,299526.0
MERT+LoRA (r=8),mert_v1_95m,train50,0.5,test,0.756477010240721,0.0408349403462748,0.8102976704225241,0.05079520908068698,1210.26,280.69636526859415,299526.0
MERT+LoRA (r=8),mert_v1_95m,train50,0.5,val,0.6843485580999804,0.075909624500033,0.7922102113917969,0.11052364725004893,1210.26,280.69636526859415,299526.0
