layer_index,layer_name,test_macro_f1,test_accuracy,ext_macro_f1,ext_accuracy
0,embedding_output,0.9661±0.0107,0.9617±0.0159,0.2970±0.0188,0.3628±0.0208
1,transformer_layer_1,0.9781±0.0136,0.9748±0.0173,0.3204±0.0132,0.3880±0.0116
2,transformer_layer_2,0.9789±0.0101,0.9767±0.0133,0.3467±0.0068,0.4066±0.0059
3,transformer_layer_3,0.9737±0.0211,0.9679±0.0282,0.3560±0.0123,0.4415±0.0081
4,transformer_layer_4,0.9696±0.0173,0.9632±0.0248,0.3300±0.0132,0.3967±0.0087
5,transformer_layer_5,0.9692±0.0164,0.9611±0.0243,0.2835±0.0131,0.3383±0.0116
6,transformer_layer_6,**0.9802±0.0151**,**0.9747±0.0215**,0.3238±0.0308,0.3880±0.0166
7,transformer_layer_7,0.9563±0.0455,0.9417±0.0653,0.2848±0.0154,0.3377±0.0339
8,transformer_layer_8,0.9485±0.0415,0.9399±0.0609,0.3577±0.0134,0.4301±0.0387
9,transformer_layer_9,0.9712±0.0132,0.9645±0.0197,0.3533±0.0213,0.4142±0.0385
10,transformer_layer_10,0.9615±0.0215,0.9531±0.0304,0.3635±0.0286,0.4383±0.0415
11,transformer_layer_11,0.9539±0.0345,0.9410±0.0483,**0.4515±0.0612**,**0.5208±0.0452**
12,transformer_layer_12,0.9626±0.0297,0.9513±0.0418,0.3838±0.0348,0.4443±0.0313
