method,model,split,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
CLAP linear probe,clap_htsat_unfused,external_test,0.6562841530054645,0.0492440388782768,0.590645708255428,0.0715976355977251,0.7089240545991594,0.0197630740562186,0.5959474865864306,0.0555596398775218
CLAP zero-shot,clap_htsat_unfused,external_test,0.2114754098360655,0.0,0.1058608880058579,0.0,0.1948314930929409,0.0,0.1986009047622376,0.0
MERT full fine-tuning,mert_v1_95m,external_test,0.3087431693989071,0.1651132479954921,0.281490716830609,0.1361640999101018,0.345506338118676,0.1115378703078507,0.3988150036571005,0.1394095239825407
MERT linear probe,mert_v1_95m,external_test,0.453551912568306,0.0131488627491977,0.3959420913432683,0.0138283012452068,0.4629775939591371,0.0186438468029851,0.5036366035344174,0.0165628286173372
MERT+LoRA (r=4),mert_v1_95m,external_test,0.4256830601092896,0.1198441760540987,0.3484691275691172,0.1767401572401207,0.4361663407925442,0.1707309390094493,0.394483561300343,0.1836683954002053
MERT+LoRA (r=8),mert_v1_95m,external_test,0.4502732240437159,0.052416307751344,0.3996182106218541,0.077897609044222,0.4974385314326208,0.0451390230168628,0.4451260365848408,0.0940421482336914
MFCC+SVM,mfcc_svm,external_test,0.1989071038251366,0.0278849198298865,0.1169146809265972,0.0259899989122626,0.2882938021825155,0.0960685582103606,0.243881501960734,0.0175165417273962
CLAP linear probe,clap_htsat_unfused,test,0.9511378618296064,0.0044686738855159,0.9544926746196188,0.0072339256212189,0.9564506520437948,0.0044334098529927,0.9555546073051762,0.0104022131893029
CLAP zero-shot,clap_htsat_unfused,test,0.0704550728649326,0.0256908010396841,0.0465380743772043,0.014996543293784,0.0369406264992003,0.0105744867273084,0.0643257495140108,0.0238178996649213
MERT full fine-tuning,mert_v1_95m,test,0.9804915534357136,0.0097573339190929,0.9775136938529476,0.0144803471221661,0.9716101581591712,0.0216715247898618,0.9851542723424034,0.0062259645169635
MERT linear probe,mert_v1_95m,test,0.9576549154995828,0.0418227361329796,0.96746212234717,0.0298486123152179,0.966642518739293,0.0305365865370121,0.9708846065951588,0.0252405673691202
MERT+LoRA (r=4),mert_v1_95m,test,0.8018558006680842,0.0861372043970314,0.755214485885674,0.1304692510863494,0.7999690366208939,0.1248791878764885,0.7830646951006281,0.0948342636551059
MERT+LoRA (r=8),mert_v1_95m,test,0.817812399082051,0.0469840753125109,0.7603358025699136,0.0874432776763502,0.8015212079733954,0.0856125296161064,0.8032831360932556,0.0629095841386023
MFCC+SVM,mfcc_svm,test,0.9877415916294988,0.0106859905720301,0.9904577344006776,0.0084082226796219,0.9900268814412632,0.0086760147814573,0.9911622509661724,0.0080250485584532
